time,open,high,low,close,Kalman Filter,Upper Band,Lower Band,Plot,Plot,Anomaly,KMEMA RSI,KMEMA Momentum,KMEMA Volatility,RSI Feature,Momentum Feature,Volatility Feature,Mahalanobis Distance
1772525700,0.9128,0.9145,0.9036,0.9084,0.9104404022820141,1.4076461901605926,0.41323461440343556,1.4076461901605926,0.41323461440343556,,0.9224387770147895,0.9148428346125949,0.9234964147691086,-0.2493128958168208,-1.3285286148509705,-0.037151411321612635,0
1772526600,0.9084,0.9094,0.9007,0.9015,0.9049149297986322,1.4021207176772106,0.40770914192005375,1.4021207176772106,0.40770914192005375,,0.9172355837800191,0.9093824342337141,0.9184899764049512,-0.3739759245679795,-2.9569624746049725,-0.011044843685329027,0
1772527500,0.9015,0.9041,0.8991,0.901,0.9024953701195078,1.3997011579980863,0.40528958224092926,1.3997011579980863,0.40528958224092926,,0.9160996679906488,0.9074088095053299,0.9177055972524519,-0.38198501725566103,-2.2971653091640616,-0.016307321981591717,0
1772528400,0.9011,0.9081,0.9001,0.9069,0.9052175810935154,1.4024233689720937,0.4080117932149369,1.4024233689720937,0.4080117932149369,,0.9160844857854422,0.9075325288094875,0.9177456119393138,-0.18872562876139726,-1.244678181802802,0.0006924388589125937,0
1772529300,0.9068,0.9084,0.8961,0.8976,0.9005096570656642,1.3977154449442426,0.4033038691870857,1.3977154449442426,0.4033038691870857,,0.9141734646879035,0.904193528530059,0.9162368802055268,-0.3443637107874559,-2.5823006343345383,0.04831527427809539,0
1772530200,0.8975,0.9012,0.8942,0.898,0.8989586036989774,1.396164391577556,0.40175281582039896,1.396164391577556,0.40175281582039896,,0.9129343394088874,0.9011913956207205,0.9153376387665867,-0.33252281676766077,-3.2329144635233753,0.05042126823701981,0
1772531100,0.8981,0.8986,0.8948,0.8975,0.898057137036893,1.3952629249154715,0.40085134915831455,1.3952629249154715,0.40085134915831455,,0.912763648962077,0.8994547951107179,0.9153810476989133,-0.340344132882006,-3.708960576858209,0.026648054053928227,0
1772532000,0.8974,0.8983,0.8937,0.8958,0.8966621496308269,1.3938679375094054,0.39945636175224847,1.3938679375094054,0.39945636175224847,,0.912289662946515,0.897688261055792,0.9151589519636714,-0.3674822511985872,-3.415982104887347,0.01268797181692256,0
1772532900,0.8957,0.8986,0.8941,0.8959,0.8961911152544627,1.3933969031330413,0.3989853273758842,1.3933969031330413,0.3989853273758842,,0.9121228244745626,0.8966989573914312,0.9151776071091052,-0.36392766212517985,-3.1809536275825057,-0.0007147195567217216,0
1772533800,0.8959,0.8979,0.8945,0.897,0.8966910335201861,1.3938968213987646,0.39948524564160764,1.3938968213987646,0.39948524564160764,,0.9120256461823695,0.8960011716585826,0.9151816113998772,-0.3231835220998721,-2.9587902174829073,-0.020382314533353207,0
1772534700,0.8971,0.9019,0.895,0.8979,0.8974382158959704,1.394644003774549,0.4002324280173919,1.394644003774549,0.4002324280173919,,0.9119822938298054,0.8959402149976642,0.9151917776971681,-0.28924874177888854,-2.304577486218415,-0.010292742926452707,0
1772535600,0.8979,0.9,0.897,0.8985,0.898094434560975,1.3953002224395534,0.4008886466823966,1.3953002224395534,0.4008886466823966,,0.9111717559377346,0.8972688224261874,0.9142440881777593,-0.2659393320489336,-0.5198682197112919,-0.03181194713585017,0
1772536500,0.8985,0.9003,0.8944,0.8954,0.89642918242183,1.3936349703004085,0.3992233945432515,1.3936349703004085,0.3992233945432515,,0.9105349297753731,0.8980972885155883,0.9135962320107455,-0.3330347543503586,-0.8994791498757715,-0.02966912499207615,0
1772537400,0.8954,0.8992,0.894,0.8984,0.8976472146707648,1.3948530025493433,0.40044142679218636,1.3948530025493433,0.40044142679218636,,0.9089521997374987,0.8980494883698222,0.9116565972019708,-0.21709566228994248,-1.4280894628960674,-0.03399972969071599,0
1772538300,0.8984,0.9005,0.8973,0.8994,0.8987304955792144,1.3959362834577929,0.40152470770063586,1.3959362834577929,0.40152470770063586,,0.9081514214055559,0.8992585746990017,0.910600787381454,-0.1802467506813082,0.2397399432958179,-0.05398207518736766,0
1772539200,0.8994,0.9131,0.8987,0.9093,0.9052628085555021,1.4024685964340806,0.4080570206769237,1.4024685964340806,0.4080570206769237,,0.908525523939825,0.9012121290464459,0.9106237590048821,0.1077594234228718,1.1488100955334786,0.015257725297260692,0
1772540100,0.9093,0.9099,0.9052,0.9066,0.9060892383176673,1.4032950261962458,0.4088834504390888,1.4032950261962458,0.4088834504390888,,0.9087827730459348,0.9027645223909638,0.9106373379481232,0.03367510426335926,0.8746083091162247,0.0018304404435574987,0
1772541000,0.9067,0.9071,0.898,0.9006,0.9026967024650006,1.399902490343579,0.4054909145864221,1.399902490343579,0.4054909145864221,,0.9088685312231846,0.9039055361181447,0.9106603345635803,-0.10893842473807525,0.4927952207856059,0.022681978103149023,0
1772541900,0.9005,0.9032,0.8991,0.9025,0.9025751336559593,1.3997809215345378,0.4053693457773808,1.3997809215345378,0.4053693457773808,,0.9089962373919327,0.9051133803689208,0.9106701245424512,-0.05910697389409691,0.767088786324087,0.0016059885004950296,0
1772542800,0.9026,0.903,0.8903,0.8927,0.8964719654131285,1.3936777532917068,0.39926617753455,1.3936777532917068,0.39926617753455,,0.9070354488422202,0.9030263607653833,0.9089984613225387,-0.2470476382691514,-0.5955010419340895,0.04827277090580576,0
1772543700,0.8926,0.8966,0.8925,0.8957,0.8959948645496757,1.3932006524282543,0.3987890766710972,1.3932006524282543,0.3987890766710972,,0.9070456595727759,0.9033701325622974,0.9090184296449141,-0.17000218019249147,-0.34515165401739584,0.026308760294032896,0
1772544600,0.8958,0.8959,0.8904,0.891,0.8929078684887742,1.3901136563673526,0.3957020806101958,1.3901136563673526,0.3957020806101958,,0.9066996326039887,0.9029029521968209,0.9087320796298272,-0.2483522921553737,-1.1052081743903754,0.018015223758765186,0
1772545500,0.891,0.8926,0.8879,0.8921,0.8924085783042718,1.3896143661828502,0.3952027904256933,1.3896143661828502,0.3952027904256933,,0.9053260115296184,0.9015532006314045,0.9075351150467696,-0.21934098141112784,-0.4992121507042707,0.003882788423997509,0
1772546400,0.8922,0.8963,0.8892,0.8944,0.8936393445981657,1.3908451324767441,0.3964335567195873,1.3908451324767441,0.3964335567195873,,0.9053613679809767,0.9016373516033773,0.907542510185571,-0.15870599613446446,-0.6561072109038966,0.009994214554412673,0
1772547300,0.8945,0.8999,0.8922,0.8963,0.8952837200688503,1.3924895079474289,0.39807793219027177,1.3924895079474289,0.39807793219027177,,0.9054512366758769,0.901837839498763,0.9075565378696273,-0.10961727004791627,-0.49786495025996536,0.02246068995867462,0
1772548200,0.8962,0.9047,0.888,0.8893,0.891585577687136,1.3887913655657145,0.39437978980855753,1.3887913655657145,0.39437978980855753,,0.9053803815734408,0.900384767780472,0.9076164460412275,-0.23774368154341233,-2.56416789136853,0.10211537004774454,0
1772549100,0.8893,0.8976,0.8841,0.891,0.8912236707734325,1.388429458652011,0.39401788289485395,1.388429458652011,0.39401788289485395,,0.9032591747872483,0.8968262650194799,0.9058110162453491,-0.19285018797176876,-2.031215562636581,0.14753231620569865,0
1772550000,0.8909,0.8962,0.8884,0.8944,0.8931867501949109,1.3903925380734894,0.39598096231633245,1.3903925380734894,0.39598096231633245,,0.9033609916699528,0.896942571110407,0.9058881342088132,-0.10641595285067709,-0.889146848686835,0.14380432673597443,0
1772550900,0.8944,0.8965,0.8857,0.891,0.8918352642495505,1.3890410521281291,0.394629476370972,1.3890410521281291,0.394629476370972,,0.9033686792545349,0.8960762584909556,0.905968524978155,-0.1710985531893185,-2.0128995373068066,0.16090413962590325,0
1772551800,0.8909,0.9075,0.8907,0.9001,0.8969431518513646,1.3941489397299431,0.3997373639727862,1.3941489397299431,0.3997373639727862,,0.9036392451617422,0.8979246842978922,0.9060778441754351,0.031061535464893097,1.0157018948051486,0.21694356437443552,0
1772552700,0.9001,0.9052,0.8993,0.9027,0.9005010796752931,1.3977068675538717,0.40329529179671464,1.3977068675538717,0.40329529179671464,,0.9039454667503901,0.8994335582840124,0.9061560728761355,0.07993115297731819,0.8439641938596927,0.18647258784677395,0
1772553600,0.9026,0.9163,0.9,0.9149,0.9094001018372637,1.4066058897158422,0.4121943139586853,1.4066058897158422,0.4121943139586853,,0.9044684941523117,0.9017939404728565,0.9062557011205205,0.2667998147041061,1.9772983250120326,0.23014306277723542,0
1772554500,0.9148,0.9257,0.9111,0.9226,0.917558087549872,1.4147638754284504,0.4203522996712935,1.4147638754284504,0.4203522996712935,,0.9050544319422021,0.903891386775016,0.9063606098173308,0.35573907606533395,1.9534336525302378,0.25379628224549744,0
