time,open,high,low,close,Predictive Vector MA,Predictive MA,Baseline MA,Cyclic FV,PhiLatch Target,PhiTotal Orth Target,Innovation Band Upper,Innovation Band Lower,Zone 3 Upper,Zone 3 Lower,Zone 2 Upper,Zone 2 Lower,Zone 1 Upper,Zone 1 Lower,Velocity Signals,VWAP Rejection Long,VWAP Rejection Short,Squeeze Bull,Regime Markers,MR,TE,VEC,CORR,LTF,BURST,Trade State,MC Debug,Entry Context,Exit Context,Density Debug,Debug Combined,MC Visualization,kNN Superpack (Conf|Family|Features)
1775326500,0.8694,0.8703,0.8684,0.8684,0.8757245383733568,0.8757245383733568,0.8679278657546988,0.8704457085734821,0.8636061853489645,0.8670138096512794,0.8729286936816798,0.8670660510504047,0.8734271583918546,0.8631329617515934,0.8741777954919095,0.8622877853820453,0.8755771390345803,0.8607682382085041,,,,,,2.0717344944098217,3.9999999870147316,-4.707036979040481,-5.529353398018656,-8.83418884020815,-1.1153444587311006,0,0,1000,1100,0,0,,594706165
1775327400,0.8684,0.8694,0.8675,0.869,0.8754190044297587,0.8754190044297587,0.8679441474423176,0.870300581316907,0.8640229708196296,0.8670863727974116,0.8728449875961451,0.8671792252945162,0.8733296040090484,0.8630718985320169,0.8740875289905291,0.8622453051161352,0.8754947345159735,0.8607506064388449,,,,,,2.019529299032436,3.9999999870147316,-5.084163208370026,-5.497888073864091,-8.521184173414579,-1.0922607715490147,0,0,1000,1100,0,0,,594771708
1775328300,0.869,0.8694,0.8682,0.8685,0.8749526213739278,0.8749526213739278,0.8679732505293021,0.8701963920172927,0.8642212112370549,0.8671533904420762,0.8728536043482565,0.8671848562131909,0.8733322103554495,0.863215375641573,0.8740746273266248,0.8623924153004202,0.8754559358851238,0.8609085847082424,,,,,,1.8678237897282164,3.9999999870147316,-5.090106759609251,-5.4933408207606025,-8.730960369380243,-1.063930828937607,0,0,1000,1100,0,0,,594245372
1775329200,0.8686,0.875,0.8682,0.8749,0.8771494131165477,0.8771494131165477,0.8685360260439826,0.8711631348387092,0.8644364921421736,0.8697467317591765,0.8735256885943754,0.8666843233706982,0.8752642277835437,0.8634754746793962,0.8760866123101415,0.8624244113286974,0.8776414019811973,0.8605831427666175,,,0.872238358320104,,,2.4204921251782587,3.9999999870147316,-3.876388663287544,-5.3522040806744275,-7.482955408677002,-1.0209789664690203,0,0,1100,100,0,30011500,,393330430
1775330100,0.8749,0.8757,0.8708,0.8712,0.8788993704651086,0.8788993704651086,0.8686683548091474,0.8712340758278762,0.8646744733764876,0.8703632755822882,0.8734762612259842,0.8669305232517822,0.8749949657004954,0.8632408407667205,0.8758473321272496,0.8622676033966924,0.8774390402470167,0.8605223848632004,,,0.8724439868214764,,,1.982730319233768,3.9999999870147316,-4.805352008352923,-5.261311560008088,-5.53908297792801,-0.9957215202212026,0,0,1100,100,0,0,,393262837
1775331000,0.8712,0.8718,0.8692,0.8694,0.8793280773953894,0.8793280773953894,0.8687047346920584,0.8710967103076903,0.8644700761820772,0.8703918493710617,0.8734520460065959,0.8671991423072299,0.874977470087277,0.8633462409689284,0.8758197275360773,0.8623810198967158,0.8773932512969851,0.8606513772284609,,,,,,1.3187381422153515,3.9999999870147316,-5.457446291574615,-5.2209753612078975,-4.871910001058757,-0.9300757017098793,0,0,1100,100,0,0,,393199100
1775331900,0.8693,0.8707,0.8693,0.8699,0.8786391561050538,0.8786391561050538,0.8687702091983703,0.8710008307951507,0.8646057767077369,0.8703690684221936,0.8733223524385312,0.8674850670414833,0.8750106275893821,0.8635802919104439,0.8758311676500314,0.8626180100779969,0.877368283341627,0.8609013275285535,,,,,,1.0199507593153978,3.9999999870147316,-5.504591547047578,-5.132121895478663,-5.594269536849135,-0.8855866435791613,0,0,1100,100,0,0,,393721340
1775332800,0.8699,0.8707,0.8682,0.8689,0.8773299207907114,0.8773299207907114,0.8688161880452809,0.8708034342774791,0.8645978743208145,0.870170681495245,0.8733404486028097,0.8675137097314972,0.8749461880297024,0.863661594835063,0.8757591250928025,0.8627172286094702,0.877280320957922,0.8610293737212669,,,,,,0.6615973111270714,3.9999999870147316,-6.115161465802084,-5.050074597794626,-5.258225589788696,-0.866250218015451,0,0,1000,1100,0,0,,385858804
1775333700,0.8689,0.8692,0.8684,0.8686,0.8757924203437536,0.8757924203437536,0.8688859766264035,0.8707021343096256,0.8643863272323764,0.8701833955831403,0.8734008648926271,0.867473005286581,0.87503386055951,0.8638894850066446,0.8758281980877841,0.8629393060898575,0.8773195675643493,0.8612509319140281,,,,,,0.38132337424470036,3.9999999870147316,-6.003256891504602,-5.026559756885316,-5.13497285696341,-0.8481378033184195,0,0,1000,1100,0,0,,393655540
1775334600,0.8686,0.8686,0.8676,0.8679,0.8741186428086077,0.8741186428086077,0.8688697889531863,0.870654588906313,0.8637113910065143,0.8700782831147558,0.8735778596867501,0.8673066160436995,0.8751315380891777,0.8639375453614426,0.8759221561026983,0.8629661115384113,0.8774108723275833,0.8612495770260409,,,,,,0.0946599820097701,3.9999999870147316,-5.897294611317645,-5.003526797153472,-5.110253467255873,-0.7841031942536891,0,0,1000,1100,0,0,,384744436
1775335500,0.868,0.8681,0.8673,0.868,0.8724720187992884,0.8724720187992884,0.8688551942958904,0.8705945377668552,0.86327543400535,0.8699323385913585,0.8737172602966828,0.8671704691272654,0.8751522103968421,0.8639060014565823,0.875946027701362,0.8629288112194123,0.8774410640321106,0.8612027922473597,,,,,,-0.013220954497704662,3.9999999870147316,-6.02391551778431,-4.995327293940056,-5.1164693291015535,-0.742455405485501,0,0,1000,1100,0,0,,384742388
1775336400,0.8679,0.8694,0.8677,0.8684,0.8714425126677213,0.8714425126677213,0.8688389101032619,0.8705242462150966,0.8632049108945713,0.8697529592303965,0.8737715290090885,0.8671179734621351,0.8751125257069243,0.8638556473760215,0.8759094891856055,0.8628834300028954,0.877409003024745,0.8611628989419202,,,,,,0.046313266259354835,3.9999999870147316,-6.173435689684629,-4.9969050887623885,-5.1564840213464525,-0.6676588750716574,0,0,1000,1100,0,0,,385266676
1775337300,0.8683,0.87,0.8679,0.8691,0.8714229883507508,0.8714229883507508,0.8688527073846108,0.8706229749929327,0.8630981496535727,0.869649617019519,0.8736970412333803,0.8671962184195433,0.8751740606774316,0.863941442800705,0.8759643830935415,0.8629589018440907,0.8774543776350728,0.8612271094763708,,,,,,0.254368789243979,3.9999999870147316,-5.5796677389439715,-5.01284140080716,-4.453331431076255,-0.6573485637311849,0,0,1000,1100,0,0,,384809980
1775338200,0.869,0.8706,0.8676,0.8697,0.8720342025860432,0.8720342025860432,0.8688748558382158,0.8706571154825958,0.8634182894434755,0.8694926193042114,0.8735277820941869,0.8673773174812858,0.8750683107317022,0.8639049211543626,0.875860997230959,0.8629463198634986,0.8773510560191404,0.8612467933875522,,,,,,0.5473403408334165,3.9999999870147316,-5.807218456980449,-5.0395468141040745,-4.370579762833986,-0.6141449741704901,0,0,1100,100,0,11700,,386380788
1775339100,0.8696,0.873,0.8695,0.8716,0.8732228408675994,0.8732228408675994,0.8688978466614565,0.8706868561169369,0.8644301882960593,0.8695378740939104,0.8734421062986358,0.8674685972896298,0.8749868964688304,0.8637460957478401,0.8757982995795539,0.8628084903412742,0.8773156788371623,0.8611309999101928,,,,,,1.1411985687501194,3.9999999870147316,-5.883507952864986,-5.124272570590084,-4.0504041141152545,-0.6491489878497294,0,0,1100,100,0,0,,594378228
1775340000,0.8716,0.8755,0.8707,0.8753,0.8752092463495913,0.8752092463495913,0.869169460323687,0.8707812762453018,0.8666386875868274,0.8699924066872862,0.8740240097372529,0.8668897141928056,0.8754639989851426,0.8631598043973727,0.8763922668144427,0.8621935244728475,0.8781048330569707,0.8604324337542621,,,0.8735234439407336,,,2.0603003927122128,3.9999999870147316,-6.15527786343516,-5.562676855374827,-3.9073759326842676,-0.6345888757234261,0,0,1000,1100,0,11500,,596082676
