time,open,high,low,close,Predictive Vector MA,Predictive MA,Baseline MA,Cyclic FV,PhiLatch Target,PhiTotal Orth Target,Innovation Band Upper,Innovation Band Lower,Zone 3 Upper,Zone 3 Lower,Zone 2 Upper,Zone 2 Lower,Zone 1 Upper,Zone 1 Lower,Velocity Signals,VWAP Rejection Long,VWAP Rejection Short,Squeeze Bull,Regime Markers,MR,TE,VEC,CORR,LTF,BURST,Trade State,MC Debug,Entry Context,Exit Context,Density Debug,Debug Combined,MC Visualization,kNN Superpack (Conf|Family|Features)
1772567100,219.5,219.84,218.69,219.05,221.22143671289118,221.22143671289118,216.2410373959043,217.34495855100667,219.7178222631648,217.29365651005958,222.39480344552504,209.33113441227204,223.21861162704403,209.3929377507433,224.2736089580216,208.32067550394984,226.21325840317272,206.35897696212862,,,,,,1.8475196553878606,,-4.728139166952534,-4.868711213355019,-6.85,-0.43234019383966826,0,0,1000,1100,0,0,,400000000
1772568000,219.13,219.31,218.18,218.26,220.56050689979944,220.56050689979944,216.37656315630952,217.07080194140613,220.21224950922755,217.77082706735368,222.33283155648525,209.71465909514217,222.70166577821524,209.48138087351214,223.75977375228877,208.49948157491502,225.67709793737114,206.6793180449853,,,,,,1.5350070502263804,,-5.54516053385992,-4.873262850567653,-6.85,-0.41035255564703377,0,0,1000,1100,0,0,,400000000
1772568900,218.13,219.84,218.02,219.5,219.99665805646865,219.99665805646865,216.45783613844975,217.0274811291776,220.87032618098212,218.1560334810948,222.48314610555266,209.88188923750207,222.9480280831747,209.9136209994766,223.95427049630507,208.91458164271475,225.79776712017693,207.08028469635036,,,,,,1.5096928711456985,,-5.136969598565814,-4.882364700813415,-6.85,-0.3789725389055445,0,0,1000,1100,0,0,,400000000
1772569800,219.51,220.62,219.05,220.23,219.8993950772511,219.8993950772511,216.52345154020935,217.1517110919832,221.3956338212573,218.590457774876,222.7279919544024,209.93443016686945,223.1886908205717,210.2808457847707,224.15509133528977,209.25801019675296,225.94215627597808,207.39893999969703,,,,,,1.5532495290307033,,-4.802790932175795,-4.890944790616379,-6.85,-0.5165607057965931,0,0,1000,1100,0,0,,400000000
1772570700,220.18,220.18,217.83,218.24,219.6561695106084,219.6561695106084,216.57875942264653,217.05787492818357,221.24817803080845,218.5937353947675,222.53401287876395,210.30951563978445,222.9646630313505,210.16167154612836,223.951563626679,209.1789287660506,225.76044601132708,207.37535676232278,,,,,,1.1941571616188944,,-5.461513581328198,-4.893974611858741,-6.85,-0.44371122710227295,0,0,1000,1100,0,0,,400000000
1772571600,218.33,218.34,217.01,217.84,218.97529393790333,218.97529393790333,216.6219267846716,216.74577514917445,221.60213054324166,218.8137867940061,222.21768313779774,210.65636000694974,222.62336793204815,209.91979275146582,223.65231132690235,208.98467521324437,225.5099920361996,207.2464796663177,,,,,,0.8548879296270808,,-6.592677324611081,-4.907442383103508,-6.85,-0.43227232200434473,0,0,1000,1100,0,0,,400000000
1772572500,217.84,218.27,215.53,215.84,217.65712216087977,217.65712216087977,216.64899464495065,216.41554584152064,221.08714450764182,218.61830093233274,221.7732750453845,211.0999537392635,222.58162315114424,210.0242155748083,223.59868840470187,209.09983177149104,225.43494568450902,207.38160275698064,,,,,,0.29234010528173027,,-7.211749576628093,-4.910745243170275,-6.85,-0.43227232200434385,0,0,1000,1100,0,0,,400000000
1772573400,215.9,216.92,215.9,216.59,216.54263732773916,216.54263732773916,216.70334126022135,216.39059249573347,220.4934947330117,218.74401982873118,221.29193918872235,211.58013855678715,222.99052473207664,210.59225935295586,223.93277651869533,209.62652133704935,225.6672713723037,207.86203541081008,,,,,,0.09167423529449537,,-6.306574497543779,-4.9139764844344995,-6.85,-0.3945090379938341,0,0,1000,1100,0,0,,400000000
1772574300,216.51,217.11,216.2,216.59,215.87419355160296,215.87419355160296,216.7394878982886,216.49622898827988,219.6690545470372,219.17180355901002,220.85815529928675,212.0168192261205,223.27875621835858,210.92421433659226,224.18591570098053,209.92005511716985,225.8734340661551,208.1090563312708,,,,,,-0.10427071256158238,,-5.836586956038271,-4.924025003341455,-6.85,3.5220654195201875,0,0,1000,1100,0,0,,400000000
1772575200,216.63,219.1,216.51,218.94,216.38350902251918,216.38350902251918,216.7181732530682,217.035726096219,219.04410742673562,219.3665415985067,220.89031606470752,211.9999963600784,223.81498718041763,211.36895644069318,224.6836960003928,210.26070430428337,226.32577031904995,208.31845456916957,,,,,,0.19900670141806454,,-4.385973312279305,-4.949456646872301,-6.85,0.5668455616151508,0,0,1000,1100,0,0,,400000000
1772576100,218.95,219.01,217.86,218.7,217.48423903406297,217.48423903406297,216.7201363196669,217.46955025219592,218.2790183306352,219.50990530948246,220.89658098679428,212.05938000204088,223.89128855382216,211.33339516032473,224.76704108798646,210.21289171824574,226.42290743375455,208.2504655323993,,,,,,0.30725768799848563,,-4.367947286937705,-4.9958147743114845,-6.85,3.6400448134334167,0,0,1000,1100,0,0,,400000000
1772577000,218.69,220.31,218.43,220.13,219.31899574661475,219.31899574661475,216.75145599939108,218.05506596057458,217.73795143093622,219.8446850148899,221.2180113117984,211.95733108734467,224.08976902419994,211.46279945898922,224.9615986707511,210.30742832748103,226.61558942948827,208.30041001211725,,,,,,0.5886726192464902,,-4.055204939039308,-5.037367916531589,-6.85,3.7158431017747167,0,0,1000,1100,0,0,,400000000
1772577900,220.14,220.4,219.42,219.73,221.07125790400616,221.07125790400616,216.79100749404174,218.32006087670396,217.55452644510237,219.5893038795821,221.4458866705985,211.99175483088067,224.03876959187468,211.34160902172087,224.9244448645733,210.2093138105201,226.5989411689759,208.22587753266598,,,,,,0.7257248863455714,,-4.341959175148109,-5.097859472262875,-6.85,0.562430700455371,0,0,1000,1100,0,0,,400000000
