time,open,high,low,close,Predictive Vector MA,Baseline MA,Cyclic FV,PhiLatch Target,PhiTotal Orth Target,Innovation Band Upper,Innovation Band Lower,Zone 3 Upper,Zone 3 Lower,Zone 2 Upper,Zone 2 Lower,Zone 1 Upper,Zone 1 Lower,Velocity Signals,VWAP Rejection Long,VWAP Rejection Short,Squeeze Bull,Regime Markers,MR,TE,VEC,CORR,LTF,BURST,Trade State,MC Debug,Entry Context,Exit Context,Density Debug,Setup Context Flags,Basket Fit (0-100),TE Direction,Corr Damping (0-1),Debug Combined,MC Visualization,kNN Superpack (Conf|Damp|Fam|Vec)
1774976400,0.8747,0.8838,0.8733,0.8831,0.8832871523305162,0.8652625248308831,0.8689385967566161,0.8646841491352781,0.8725363540989031,0.8765557032771284,0.8518273317144157,0.884758333066477,0.8508301141131711,0.8871158139740738,0.8477761247799415,0.8915787160140582,0.8424425805111636,,,0.8794950230618522,,,1.1501981151600154,2.9544179732166573,-3.8101435388305287,-4.9016800829315486,-3.959959912009643,1.0370544322419113,0,0,1000,1100,0,64,90.87878672356221,0.08072477738169341,0.5,0,,9773991167
1774977300,0.8831,0.8889,0.8807,0.8825,0.8959375089910021,0.8661981455070811,0.8706205885247036,0.865873454310324,0.8723990407948699,0.8797765791917423,0.8513554362495118,0.8868121887578164,0.8503149683182607,0.8893743371520215,0.8471069853110301,0.8942082920088897,0.8414614350240548,,,,,,1.7069045280451314,2.8832664568750115,-3.9665607049203753,-4.8943133963002134,-4.031485480091675,1.1174409189510652,0,0,1000,1100,0,64,90.7310843802233,0.07675137514610302,0.5,0,,9766716663
1774978200,0.8825,0.8832,0.8723,0.8751,0.9038093517790795,0.8664680175782568,0.8711254425945848,0.8652107691456946,0.8701710584023205,0.8811213257999112,0.8524348462403145,0.8865771641682805,0.8498881967308927,0.8892037862038142,0.8467848303935931,0.894128425020407,0.8412566942766649,,,0.8770495605452338,,,1.684215740086982,2.7788945874590856,-4.339050338651617,-4.892267716636437,-4.092578673847811,1.2292721040262398,0,0,1000,1100,0,69,90.82088703424203,0.0712668556329283,0.5,0,,9766679805
1774979100,0.8751,0.8764,0.8723,0.8744,0.9060394534549743,0.8665676484844541,0.8712761786603745,0.8649489229101767,0.8685947890754132,0.882000780500148,0.8537087655505116,0.8864666411141313,0.8497468081528916,0.889116441160946,0.8466825079782523,0.8940721997245858,0.8412009163199634,,,,,,1.7275895249544906,2.6559527613205094,-4.528756112206782,-4.895883133373337,-4.112113885790061,1.3644274803468814,0,0,1000,1100,0,69,90.85479511387435,0.06524520213985391,0.5,0,,9775037437
1774980000,0.8743,0.8785,0.8742,0.8779,0.9064250879876431,0.8667032917836468,0.8720891950481926,0.8642123834630074,0.8664460737894795,0.8833065665770439,0.8544950283326809,0.8872321544459704,0.8503990112555704,0.889839762035509,0.8472176145553602,0.894746125669831,0.8415876414098701,,,,,,2.0951735361783657,2.4980298930785105,-4.19031426817552,-4.90032470609863,-4.202107634740787,1.7284489807313448,0,0,1000,1100,0,69,90.79727255167391,0.058071387187881136,0.5,0,,8693984246
1774980900,0.8779,0.8804,0.8745,0.8764,0.9050237748539224,0.8667916794717015,0.8725294570910882,0.8632402828316199,0.8644914482889418,0.8840200536167613,0.85559867248533,0.8872719493200971,0.8502632015630952,0.8899042927312998,0.8470954356521317,0.8948498077565855,0.8414735497666228,,,,,0.8804,2.3150701096372743,2.3999524290848484,-4.3084291418959895,-4.907290890328465,-4.225961809864653,2.000501669095475,0,0,1000,1100,0,325,90.43989970161374,0.053875951328387885,0.5,0,,9776077821
1774981800,0.8764,0.8768,0.8737,0.8754,0.9026248431737008,0.8669668835245422,0.8729342236751331,0.8619572996788479,0.862894906858653,0.8843090595675783,0.8568778540753837,0.8875312159839877,0.8504223165715792,0.8901682411376031,0.8472404058549832,0.8951240090756108,0.8415965337938602,,,,,,2.464056705180709,2.34080847237333,-4.334455192948344,-4.916754978917873,-4.180528486466037,2.088956256349057,0,0,1000,1100,0,64,90.37259223396907,0.0514279069307975,0.5,0,,9776565245
1774982700,0.8754,0.8774,0.8742,0.8772,0.8999655505055041,0.8671232423843305,0.8733643760046104,0.8614884106788345,0.8625573974335534,0.8847418158462437,0.8578067848024831,0.8878356369090854,0.8505808765843432,0.8904773634107974,0.8473732664797793,0.8954453545457698,0.8416912032093716,,,,,,2.6452601208877207,2.2826424087776704,-4.337379448471214,-4.922933153536271,-4.396181419235298,1.9988092326640512,0,0,1000,1100,0,64,90.34761735359224,0.04907444757737247,0.5,0,,9776071677
1774983600,0.8771,0.8792,0.8761,0.8765,0.8979933875724763,0.8673367563864235,0.8736801011994378,0.8609419473854918,0.8622259079559778,0.884862279188374,0.8588304823235251,0.8879968616150373,0.8507583231354499,0.8906410721215801,0.8475606184195844,0.8956115551946829,0.8418913491653328,,,,,,2.727611891970575,2.298384267563462,-4.409748555287576,-4.929432175175771,-7.012841333541425,1.9033277366467185,0,0,1000,1100,0,64,91.0238888430147,0.049706338253901514,0.5,0,,9776071677
1774984500,0.8766,0.8769,0.8735,0.8739,0.8958872697635,0.8675654754045432,0.8736172691023317,0.8603238033230054,0.8617477601957189,0.884304075426164,0.8601548826878509,0.8877996095205317,0.850805242790045,0.8904519233917969,0.8476839584769658,0.8954224757408076,0.8421194996597833,,,,,,2.6846761354775492,2.297157521919062,-4.65977572052518,-4.942008101406481,-8.512603385664816,1.8093783471956193,0,0,1000,1100,0,67,91.31700695156447,0.049656964090021384,0.5,0,,9776532213
1774985400,0.8739,0.8742,0.8713,0.8734,0.8936868256676046,0.8677676908916193,0.8736240165657905,0.8594854211369396,0.8612051961415722,0.8836070494946435,0.8614457862588103,0.8878719330034078,0.8511295380791414,0.890505463351212,0.848028038550553,0.8954412371779341,0.8424996727227408,,,,,,2.664999652983721,2.276894605498966,-4.698373672947222,-4.96022675075781,-9.13597043949275,1.697608534459886,0,0,1000,1100,0,67,91.31951241061235,0.048844630478305985,0.5,0,,9776530165
1774986300,0.8733,0.8781,0.8728,0.8774,0.8921822239828554,0.8684080342872967,0.8737820097908667,0.8612689310568159,0.8627964542259439,0.8837200281745957,0.8620583591791545,0.8880022712371531,0.8522277854178704,0.8905646551692976,0.8492043320208541,0.8953681285537969,0.8438171210328438,,,,,,2.7796977851351685,2.2466034544143083,-4.729647612646527,-4.966707171274659,-9.223622063172742,1.5870451468410298,0,0,1000,1100,0,67,91.02545244820033,0.047641283530773036,0.5,0,,9776136949
1774987200,0.8774,0.8812,0.8771,0.8811,0.893084937504465,0.8688671125390317,0.8744632689251701,0.8616912561278973,0.8635191975182032,0.884529769913392,0.8621617446053953,0.8888990825234828,0.8529791514845311,0.8914410443432805,0.8498742222346505,0.8962244908446908,0.8443809198425277,,,,,,2.960723022178014,2.2625282771962683,-4.481034385650261,-4.967741283158139,-9.338743594083057,1.433927974897776,0,0,1000,1100,0,3,91.0480838818286,0.04827229464760046,0.5,0,,9776138997
1774988100,0.881,0.8813,0.8782,0.8792,0.894515809861379,0.8690252212870204,0.8747610114405155,0.8631082642697862,0.8637276752281157,0.8848747035072023,0.8627047206348591,0.8888441633902454,0.852966270129104,0.8913991254308798,0.8499021715082856,0.8961974398102649,0.8444604313291089,,,,,,2.978425870880619,2.302708032181159,-4.687509839538476,-4.979484002409707,-8.7786038559384,1.2366150594804008,0,0,1000,1100,0,64,91.03729535008995,0.04988054060400244,0.5,0,,9768801013
1774989000,0.8792,0.8798,0.8772,0.8781,0.8954413832607533,0.8693702743968408,0.8749489856254202,0.8635170651380897,0.8638858698437826,0.8849215092991636,0.8634682713379582,0.888886111388376,0.8533986230693327,0.8914209088175711,0.8503845894999503,0.8961768138340613,0.8450224550027641,,,,,,2.9459700453505886,2.3286921694225793,-4.817765676441665,-4.9895442316336265,-7.9618810810246075,0.22748033765187503,0,0,1000,1100,0,64,91.25925522643303,0.05093339536830355,0.5,0,,9768801020
1774989900,0.8781,0.8813,0.8769,0.8806,0.8968385276520677,0.8697230178804071,0.8755400595696805,0.8638142094043219,0.8640050646797881,0.8855133535425087,0.8640199408066195,0.889369619202598,0.8541876867635673,0.8918572087784972,0.8511413070843089,0.8965396319298437,0.8457545311014472,,,,,,3.0243260779838854,2.2986373365442665,-4.594688070388397,-4.997164292951401,-7.060088387291736,-2.0647614234887173,0,0,1000,1100,0,64,91.22395258589758,0.049716526585305426,0.5,0,,9768801013
1774990800,0.8806,0.8812,0.8758,0.8761,0.8966656388505442,0.8702851255427371,0.8754992480510565,0.863814961586945,0.8639605850204052,0.8849873393086103,0.8651774959945628,0.8893375994312067,0.8542901781762376,0.8918610828314988,0.8513546339243787,0.8965838813476413,0.8461093910787698,,,,,,2.896545384922254,2.2888400926267325,-5.1569405672235,-4.980175426871317,-6.176423521464776,-1.5792430066688405,0,0,1200,100,0,69,91.32540540887845,0.04932279200166937,0.5,10111,,9768829692
1774991700,0.8761,0.8766,0.8739,0.8749,0.8953364628831141,0.8707122554330785,0.8756560778354169,0.8626473692749488,0.8629170838807236,0.8843680472578329,0.8662913855446756,0.889699006464886,0.8549117730397566,0.8921967454483436,0.8519841524769898,0.8968754622533696,0.8467608062026216,,,,,,2.8130947307086034,2.2452816087448655,-5.132470110353706,-4.969119586501147,-5.775469224564729,-1.1092689067358397,0,0,1200,100,0,69,91.16628491096101,0.04758906513052733,0.5,0,,9768733180
1774992600,0.8748,0.877,0.8748,0.8749,0.8931749329518746,0.8709039340261309,0.8757922673833679,0.8615437805652956,0.8621164524405328,0.8838179462669811,0.8672385050729468,0.8899025757613241,0.8550373036562352,0.8924087440878421,0.8521087637075904,0.8971015924117338,0.8468806354099662,,,,,,2.7978108645813564,2.266369530039431,-5.222561356914832,-4.965140890707422,-9.627297540673643,3.999969195439984,0,0,1200,100,0,64,91.21271422523341,0.04842503642146972,0.5,0,,9768765948
1774993500,0.8748,0.879,0.8744,0.876,0.8912673348303032,0.8710733442554353,0.8759487150482086,0.8611714549798959,0.8621147521457566,0.8832603888941348,0.8681556662285905,0.8900902823557583,0.855209525236628,0.8925966538991608,0.8522778746638119,0.8972904158877977,0.847045201086926,,,,,,2.8378791376003694,2.3103334270943066,-5.260513872574355,-4.947355756829075,-9.737547930369264,3.9999642439185084,0,0,1200,100,0,64,91.26787579707812,0.050188448299015295,0.5,0,,9776601596
1774994400,0.876,0.8767,0.873,0.8744,0.8891362007877947,0.8713171072582497,0.8758625163689323,0.8610149720078606,0.8624243019199792,0.8828481944058695,0.8686925908224608,0.8900756294294548,0.8551975547203859,0.8926062802693889,0.8523121945388612,0.8973311930058484,0.8471367334551677,,,,,,2.776236877697105,2.310121691924136,-5.640297777414782,-4.919890667916466,-9.414840916044328,3.999959648034989,0,0,1100,100,0,64,91.13315678429512,0.05017988673770055,0.5,10221,,9776601588
1774995300,0.8743,0.876,0.8733,0.8735,0.8867180384438579,0.8714977834167779,0.8756879473698952,0.8610201428489157,0.8629745510601501,0.882545612108647,0.8689375895268443,0.8901182296391069,0.8551863056433647,0.892669554610815,0.8523252200741633,0.8974233716151583,0.8471774336440895,,,,,,2.6693297699219762,2.3147912479742967,-5.9337771705789155,-4.9282981712406,-8.405872323687248,3.9999552758551893,0,0,1100,100,0,64,91.08470237554765,0.05036885944916993,0.5,0,,9768243700
1774996200,0.8735,0.8762,0.8695,0.875,0.8847060002900712,0.8717482889948139,0.8756374678245807,0.8617210618219949,0.8640611726744221,0.8819897262121832,0.8694250645699357,0.8904057350311276,0.8554195666186406,0.8929601944716964,0.8525526692913404,0.897720327013092,0.8473951856881907,,,,,,2.6239332207940063,2.3221889473713073,-5.995112755143875,-4.913936657055187,-6.82215945996274,3.9868673219454025,0,0,1100,100,0,64,91.14811716355024,0.050668919601923934,0.5,0,,9767784948
1774997100,0.8751,0.8751,0.873,0.8732,0.8831002450523636,0.8718911216467047,0.8755636095904976,0.8613963384126924,0.8643529400691292,0.8817869841190554,0.8695392688828688,0.8904889165253472,0.855461964257654,0.8930547581399045,0.8526054080798584,0.8978312728659023,0.8474589567110922,,,,,,2.487829736234648,2.3393231633993303,-6.201331480104667,-4.916721222990018,-6.183414749321622,3.9995424594629707,0,0,1100,100,0,67,91.06442683641906,0.05136716167405561,0.5,0,,9768243444
1774998000,0.8732,0.8745,0.8716,0.8734,0.8820830647198276,0.8720373134268659,0.8756016916616465,0.8610392192539246,0.8646069981046853,0.8815871205271177,0.8697038884688983,0.8907049222955736,0.8556501227795064,0.8932671042043536,0.8527820696503318,0.8980400695808802,0.8476200301209167,,,,,,2.401003012943098,2.3491968966094525,-6.193612963396883,-4.920790531422962,-5.446514292214216,3.9996116433640925,0,0,1100,100,0,67,91.13608192846634,0.05177162977253696,0.5,0,,9775124724
1774998900,0.8734,0.8774,0.8727,0.8762,0.8821812197695701,0.8722313972950347,0.8757682658265442,0.8618210338369658,0.8655802963842294,0.8811482824567826,0.8702109322724175,0.8909275695671237,0.8559952735433498,0.8934712554200142,0.8531212840033335,0.8982152417724469,0.8479574394249481,,,,,,2.451822358831145,2.359508175895611,-6.107945805759628,-4.937305345363161,-5.939268675579263,3.974580497219103,0,0,1100,100,0,67,91.10260317621419,0.05219569056452477,0.5,10221,,9775126772
