time,open,high,low,close,Predictive Vector MA,Predictive MA,Baseline MA,Cyclic FV,PhiLatch Target,PhiTotal Orth Target,Innovation Band Upper,Innovation Band Lower,Zone 3 Upper,Zone 3 Lower,Zone 2 Upper,Zone 2 Lower,Zone 1 Upper,Zone 1 Lower,Velocity Signals,VWAP Rejection Long,VWAP Rejection Short,Squeeze Bull,Regime Markers,MR,TE,VEC,CORR,LTF,BURST,Trade State,MC Debug,Entry Context,Exit Context,Density Debug,Debug Combined,MC Visualization,kNN Superpack (Conf|Family|Features)
1770648300,8.87,8.94,8.864,8.906,8.679475775760329,8.679475775760329,8.884699674359375,8.848626419402953,8.994430471324035,8.91764183426032,8.981629979494864,8.718783185437461,9.165637585348941,8.60875019285005,9.208146653888992,8.565575944309545,9.286292912024823,8.486580175901057,,,,,,0.1243584880653904,,-4.878960362495652,-4.886756443237264,-9.57677174522501,-0.8113385718781383,0,0,1100,100,0,11200,,400000000
1770649200,8.907,8.997,8.907,8.93,8.745494597705001,8.745494597705001,8.88548490136813,8.856884916482132,9.001214408994564,8.91019701261041,8.984554803910047,8.718761873025102,9.1605562510734,8.615314970881888,9.202175217653553,8.57304242611993,9.278685785486633,8.495697165309343,,,,,,0.5142818019540492,,-4.555011916201241,-4.8681535675400776,-9.065432915265484,-0.8113385718781383,0,0,1000,1100,0,0,,400000000
1770650100,8.931,8.956,8.859,8.874,8.791612199727915,8.791612199727915,8.88241938277401,8.853169314277855,9.010910452588409,8.906410414537156,8.97613202315306,8.72777981949126,9.138308772184185,8.602041143193867,9.18133681967749,8.562287829030407,9.259245624327013,8.488553169523485,,,,,,0.5004700555686403,,-5.441759746097828,-4.867603322061882,-7.637101573754572,-0.8113385718781383,0,0,1000,1100,0,0,,400000000
1770651000,8.874,8.998,8.868,8.981,8.865875788958201,8.865875788958201,8.882439736376618,8.864580502296853,9.023538818542157,8.900795119957206,8.988382115922443,8.718044376782972,9.153594798976176,8.617558132805497,9.19441792334174,8.575898409506841,9.269517455761022,8.49973050369354,,,8.946532144645053,,,1.0291304836602797,,-4.27027243707868,-4.8658704392912915,-5.87122497899174,-0.8113385718781383,0,0,1000,1100,0,0,,400000000
1770651900,8.98,8.999,8.95,8.994,8.947109712594218,8.947109712594218,8.883253540666784,8.872537278484485,9.043993047125916,8.892538356560673,9.001326685658432,8.706748894283843,9.146897230492499,8.611156378170197,9.188687187422866,8.570493915356074,9.265007951199001,8.495612855734748,,,,,,1.4331288340276744,,-4.322304701441248,-4.86795626287205,-4.921137318809,-0.8113385718781383,0,0,1000,1100,0,0,,400000000
1770652800,8.993,9,8.913,8.924,8.992525306223293,8.992525306223293,8.879252938440251,8.870132919431201,9.048512984523823,8.886636545460723,9.00012683992405,8.70876297113061,9.131919691524283,8.596994108074485,9.175253814496736,8.557622594984242,9.253486414414304,8.484436204062076,,,,,,1.3674954652168372,,-4.778482613799461,-4.868810271907223,-4.386868664808652,-0.8113385718781383,0,0,1000,1100,0,0,,400000000
1770653700,8.924,8.987,8.915,8.98,9.02157380449295,9.02157380449295,8.877880720958792,8.875067382111656,9.057146364849624,8.878683949635821,9.008798050525547,8.700396419909096,9.139433589529927,8.601502306487573,9.181852306998538,8.561062397550321,9.259065949233237,8.486374267394517,,,,,,1.6207828866290312,,-4.256199182291843,-4.869003763469502,-4.2513086641041244,-0.8113385718781383,0,0,1000,1100,0,0,,400000000
1770654600,8.979,9.077,8.948,9.064,9.077929690852079,9.077929690852079,8.8840353633719,8.891131913648449,9.073254265515434,8.874703834796179,9.032374310325178,8.678935257903515,9.160072545078696,8.61144613686931,9.202046001423875,8.569012940939983,9.279154567354787,8.49131721243319,,,,,,2.1168549171404036,,-3.9347859490802746,-4.867209548991795,-4.273424711274858,-0.8113385718781383,0,0,1100,100,0,11500,,400000000
1770655500,9.064,9.151,9.053,9.062,9.159424622014695,9.159424622014695,8.899738229441066,8.912322121851378,9.066786616057644,8.883644728211621,9.05655391314065,8.664890861114174,9.184863966322059,8.62657318881216,9.227042302193816,8.58279910337677,9.304824182657274,8.502980012030328,,,,,,2.3256753012481877,,-3.870955900167659,-4.867341112958629,-5.827511585810111,-0.8113385718781383,0,0,1000,1100,0,0,,400000000
1770656400,9.062,9.091,8.998,9.009,9.214962939771139,9.214962939771139,8.90251632721169,8.921117726153168,9.04782819366704,8.89535773338892,9.069470595006408,8.664365173211912,9.176317205071959,8.620536075437812,9.219628729078996,8.57831543718907,9.298751440291753,8.500585728089185,,,,,,2.2103994986316797,,-4.057456274840886,-4.8688755916874085,-6.263659785398337,-0.8113385718781383,0,0,1000,1100,0,0,,400000000
