Date,Message
2025-09-03T10:15:00.000+03:00,"LONGEVAL,bar=221,entryCtx=1000,z0=-1.073,mr=0,vec=0.033,basket=48.46,burst=NaN,te=NaN,innW=1.4407,innWmed=0.7576,innRatio=1.902,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-03T10:30:00.000+03:00,"LONGEVAL,bar=222,entryCtx=1000,z0=-0.53,mr=0,vec=0.166,basket=48.58,burst=NaN,te=NaN,innW=1.3884,innWmed=0.7576,innRatio=1.833,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-03T23:00:00.000+03:00,"LONGEVAL,bar=272,entryCtx=1000,z0=-0.549,mr=-0.835,vec=0.138,basket=26.37,burst=0.000322,te=NaN,innW=0.669,innWmed=0.9492,innRatio=0.705,knn=NaN,phiTotal=0.27,triggered=0"
2025-09-03T23:15:00.000+03:00,"LONGEVAL,bar=273,entryCtx=1000,z0=-1.998,mr=-1.517,vec=-0.028,basket=28.66,burst=0,te=NaN,innW=0.8865,innWmed=0.9198,innRatio=0.964,knn=NaN,phiTotal=0.245,triggered=0"
2025-09-03T23:30:00.000+03:00,"LONGEVAL,bar=274,entryCtx=1000,z0=-2.008,mr=-1.929,vec=-0.009,basket=28.69,burst=0,te=NaN,innW=1.0889,innWmed=0.9198,innRatio=1.184,knn=NaN,phiTotal=0.237,triggered=0"
2025-09-03T23:45:00.000+03:00,"LONGEVAL,bar=275,entryCtx=1000,z0=-1.994,mr=-2.19,vec=-0.012,basket=28.57,burst=0,te=NaN,innW=1.2733,innWmed=0.9198,innRatio=1.384,knn=NaN,phiTotal=0.181,triggered=0"
2025-09-04T00:00:00.000+03:00,"LONGEVAL,bar=276,entryCtx=1000,z0=-1.861,mr=-2.165,vec=0.023,basket=29.84,burst=0,te=NaN,innW=1.4302,innWmed=0.9198,innRatio=1.555,knn=NaN,phiTotal=0.117,triggered=0"
2025-09-04T00:15:00.000+03:00,"LONGEVAL,bar=277,entryCtx=1000,z0=-2.087,mr=-2.25,vec=0.036,basket=29.3,burst=0,te=NaN,innW=1.6051,innWmed=0.9198,innRatio=1.745,knn=NaN,phiTotal=0.062,triggered=0"
2025-09-04T00:30:00.000+03:00,"LONGEVAL,bar=278,entryCtx=1000,z0=-2.161,mr=-2.287,vec=-0.125,basket=29.77,burst=0.00001,te=NaN,innW=1.7907,innWmed=0.9198,innRatio=1.947,knn=NaN,phiTotal=0.019,triggered=0"
2025-09-04T00:45:00.000+03:00,"LONGEVAL,bar=279,entryCtx=1000,z0=-1.543,mr=-1.914,vec=-0.098,basket=30.1,burst=0,te=NaN,innW=1.9169,innWmed=0.9198,innRatio=2.084,knn=NaN,phiTotal=-0.011,triggered=0"
2025-09-04T01:00:00.000+03:00,"LONGEVAL,bar=280,entryCtx=1000,z0=-1.521,mr=-1.738,vec=-0.058,basket=30.58,burst=-0.000002,te=NaN,innW=2.0293,innWmed=0.9198,innRatio=2.206,knn=NaN,phiTotal=-0.031,triggered=0"
2025-09-04T01:15:00.000+03:00,"LONGEVAL,bar=281,entryCtx=1000,z0=-1.413,mr=-1.599,vec=-0.088,basket=30.06,burst=-0.000042,te=NaN,innW=2.1153,innWmed=0.9198,innRatio=2.3,knn=NaN,phiTotal=-0.043,triggered=0"
2025-09-04T01:30:00.000+03:00,"LONGEVAL,bar=282,entryCtx=1000,z0=-1.899,mr=-1.642,vec=-0.082,basket=29.06,burst=-0.000001,te=NaN,innW=2.2849,innWmed=0.9198,innRatio=2.484,knn=NaN,phiTotal=-0.053,triggered=0"
2025-09-04T01:45:00.000+03:00,"LONGEVAL,bar=283,entryCtx=1000,z0=-2.046,mr=-1.808,vec=-0.008,basket=28.67,burst=0.000011,te=NaN,innW=2.4701,innWmed=0.9198,innRatio=2.686,knn=NaN,phiTotal=-0.059,triggered=0"
2025-09-04T02:00:00.000+03:00,"LONGEVAL,bar=284,entryCtx=1000,z0=-1.971,mr=-1.881,vec=-0.086,basket=28.71,burst=0.000014,te=NaN,innW=2.6513,innWmed=0.9198,innRatio=2.883,knn=NaN,phiTotal=-0.064,triggered=0"
2025-09-04T02:15:00.000+03:00,"LONGEVAL,bar=285,entryCtx=1000,z0=-1.961,mr=-1.99,vec=-0.021,basket=29.51,burst=0.000047,te=NaN,innW=2.8173,innWmed=0.9198,innRatio=3.063,knn=NaN,phiTotal=-0.069,triggered=0"
2025-09-04T02:30:00.000+03:00,"LONGEVAL,bar=286,entryCtx=1000,z0=-1.681,mr=-1.917,vec=-0.124,basket=28.84,burst=-0.00029,te=NaN,innW=2.9498,innWmed=0.9198,innRatio=3.207,knn=NaN,phiTotal=-0.072,triggered=0"
2025-09-04T02:45:00.000+03:00,"LONGEVAL,bar=287,entryCtx=1000,z0=-1.435,mr=-1.743,vec=-0.059,basket=29.07,burst=-0.000696,te=NaN,innW=3.0393,innWmed=0.9198,innRatio=3.304,knn=NaN,phiTotal=-0.075,triggered=0"
2025-09-04T03:00:00.000+03:00,"LONGEVAL,bar=288,entryCtx=1000,z0=-1.495,mr=-1.647,vec=0.007,basket=28.74,burst=-0.000555,te=NaN,innW=3.1266,innWmed=0.9198,innRatio=3.399,knn=NaN,phiTotal=-0.077,triggered=0"
2025-09-04T03:15:00.000+03:00,"LONGEVAL,bar=289,entryCtx=1000,z0=-1.603,mr=-1.706,vec=0.065,basket=28.2,burst=-0.000372,te=NaN,innW=3.2212,innWmed=0.9198,innRatio=3.502,knn=NaN,phiTotal=-0.078,triggered=0"
2025-09-04T03:30:00.000+03:00,"LONGEVAL,bar=290,entryCtx=1000,z0=-1.543,mr=-1.729,vec=0.022,basket=28.05,burst=-0.000439,te=NaN,innW=3.2844,innWmed=0.9198,innRatio=3.571,knn=NaN,phiTotal=-0.075,triggered=0"
