time,open,high,low,close,Predictive Vector MA,Baseline MA,Cyclic FV,PhiLatch Target,PhiTotal Orth Target,Innovation Band Upper,Innovation Band Lower,Zone 3 Upper,Zone 3 Lower,Zone 2 Upper,Zone 2 Lower,Zone 1 Upper,Zone 1 Lower,Velocity Signals,VWAP Rejection Long,VWAP Rejection Short,Squeeze Bull,Regime Markers,MR,TE,VEC,CORR,LTF,BURST,Trade State,MC Debug,Entry Context,Exit Context,Density Debug,Debug Combined,MC Visualization,kNN Superpack (Conf|Family|Features)
1770863400,0.9039,0.9103,0.9034,0.9099,0.9262523676990683,0.8975349866153071,0.9009140689711262,0.90527797616786,0.9227358644496972,0.9122129006477614,0.8881415986263738,0.9203500205386385,0.8813367786250751,0.9230346647723056,0.8777337302086403,0.9281337302760974,0.8714938790583922,,,,,,-1.144120262349527,,-4.60244082724472,-5.122117748863425,-5.076912187603272,3.483335489152585,0,0,1000,1100,0,0,,400000000
1770864300,0.91,0.9102,0.9064,0.907,0.9253014540806085,0.898239385343725,0.901452058058469,0.9056987140168585,0.9222633512825816,0.9123079496602309,0.8881024356918463,0.920107271844698,0.8824328541217066,0.9227102639182411,0.878991895443431,0.9276473857841534,0.8730109795447561,,,,,,-1.1696493982799483,,-5.223019270218842,-5.111551702004312,-4.983267878381889,3.814499345309505,0,0,1000,1100,0,0,,400000000
1770865200,0.9069,0.9087,0.9059,0.907,0.9248579107011649,0.8991920618397405,0.9023476778577392,0.9063616850578115,0.916437869895081,0.9123838148288816,0.8880634580646676,0.9202462787476611,0.8840044303882905,0.9227491285296276,0.8806901838126024,0.9274970635600942,0.8749318635328732,,,,,,-0.9544398673638306,,-4.8892438208703215,-5.076707930307117,-4.87524372075172,3.9999942380992874,0,0,1000,1100,0,0,,400000000
1770866100,0.907,0.9077,0.9036,0.905,0.9237553952015124,0.8994748545724841,0.9028790766912168,0.9067531035417076,0.9105962673547946,0.9120930888338089,0.8883894011661856,0.9206385047567667,0.8837264715154458,0.9232065818066587,0.8804142575906005,0.9280660913138402,0.8746238928569127,,,,,,-0.6093490290344963,,-5.236004195603326,-5.063194431440589,-4.714722529962847,3.9998310664855308,0,0,1000,1100,0,0,,400000000
1770867000,0.905,0.911,0.9043,0.9102,0.9252010073145467,0.9000588597773475,0.9039775659414767,0.9074307979291393,0.9070439195230967,0.9128056221174776,0.8878300916940711,0.921453962221325,0.8840082266234557,0.9240644733489864,0.8806644817516572,0.9290009409596428,0.8748097710964645,,,,,,0.15596691758288583,,-4.613351914072406,-5.034192891320424,-4.523086772645909,3.975848981069479,0,0,1000,1100,0,0,,400000000
1770867900,0.9102,0.9128,0.9097,0.9119,0.9287941267873189,0.9005880098156209,0.9051833653715746,0.9079752620834889,0.9041467288954815,0.9139230053741332,0.8872932930414537,0.9218313671700131,0.8842018232953631,0.9244737924250795,0.8808964510185987,0.9294587210147853,0.875078308873904,,,,,,0.963180279351002,,-4.40354848741803,-5.0595151558578415,-4.706247376769895,3.9388580789372187,0,0,1000,1100,0,0,,400000000
1770868800,0.912,0.9132,0.9096,0.9107,0.9330942466870349,0.9012837410505627,0.906394114526151,0.9003313238013084,0.8995100359829756,0.9150058268655341,0.8875466481507859,0.9219897134933474,0.8847481709676472,0.9246304253330547,0.8815415159948096,0.9295965547542684,0.875861247015036,,,,,,1.662769000790915,,-4.313558153538877,-5.09297198346259,-4.552814265145264,3.893552668332937,0,0,1100,100,0,11500,,400000000
1770869700,0.9107,0.9114,0.9076,0.9087,0.9344995855533975,0.9017293297026299,0.9066507990178791,0.9007675366962813,0.8984225546693774,0.9159485992135558,0.888855271591611,0.9215472547609946,0.8837088153932837,0.9243483431944397,0.8806673128548287,0.9295460048820323,0.8751632573472596,,,,,,1.9774939429211171,,-5.240978615354161,-5.098937869673454,-5.6325994278231954,3.0978955597235354,0,0,1100,100,0,0,,400000000
1770870600,0.9086,0.9139,0.9065,0.9131,0.9360442161598517,0.9021706816797895,0.9074512353760377,0.9011982140193229,0.8986679719672674,0.9176346534168024,0.8897643157825453,0.9223769442666103,0.8840963897261768,0.9251936987646132,0.8809941310261784,0.9304301058474543,0.8753941614393834,,,,,,2.365472965257963,,-4.6508302636009,-5.09171408003667,-8.136217032179491,0.021392725234132604,0,0,1100,100,0,0,,400000000
1770871500,0.913,0.9138,0.9089,0.909,0.9352888393542678,0.9025524831237262,0.9074434115295879,0.9015747972716908,0.8996013938477326,0.9182094349138764,0.8915157738589888,0.9219900849066803,0.8834070006994703,0.9249387163482361,0.8804194179910578,0.9303573830804487,0.8749510049787402,,,,,,2.314445663900676,,-5.8018822335952045,-5.102698924301956,-8.023017695794417,0.8916320933154118,0,0,1100,100,0,0,,400000000
